class,description
2,"Reuters - United Parcel Service Inc. ,\the world's largest package delivery company, said on Tuesday\it plans to hire nearly 70,000 temporary workers to help handle\an estimated 340 million packages from Thanksgiving to\Christmas, exceeding year-ago forecasts."
1,"At 23, pitcher Richard Stahl knows there's still time to impress the Baltimore Orioles' front office. He just needs to stay on the mound long enough."
0,"Australia will hold a general election on Oct 9 with John Howard, the prime minister, seeking an unprecedented fourth term in office."
2,"China maker Royal Doulton has revealed it is in talks about a takeover by Irish rival Waterford Wedgwood. Stoke-based Doulton, which is to close its last remaining current UK factory next year, said it was in  quot;advanced discussions quot; with Waterford."
0,Reuters - Ghana's President John Kufuor won a\second and final four-year mandate in the world's number two\cocoa grower on Thursday after taking more than half the votes\in the first round of a presidential poll.
2,Troubled doughnut maker Krispy Kreme said Thursday that lawyers have concluded for a second time that no one at the company engaged in intentional misconduct related to the company #39;s acquisition of a Michigan franchise.
1,"Green Bay, WI (Sports Network) - The Green Bay Packers could be without two starters in their defensive backfield for this weekend #39;s game at Washington."
1,It wasn #39;t supposed to end like this for Pau Gasol and Spain. Not after the way things were going in this Olympics. The Spaniards finished group play an undefeated 5-0 
1,PARIS: Ankle-victim Patrick Vieira will miss Arsenals Champions League trip to Panathinaikos today in a big blow to manager Arsene Wenger on the run-up to the Athens tie.
3,"IBM today announced that Websphere 6, the long awaited-update to its application server software, will be available by the end of the year."
0,"Italy's Volare is expected to be declared insolvent, as it becomes the latest casualty of budget airline competition."
0,"The European Commission gave Turkey #39;s hopes of joining the European Union a huge boost last week, saying it saw  quot;no more obstacles quot; toward a  quot;clear recommendation quot; on starting EU entry talks with Ankara."
1,"Milton Bradley was back in the Los Angeles Dodgers #39; lineup Thursday, a day following a clubhouse confrontation between the outfielder and a reporter he called an  quot;Uncle Tom."
1,com. The Pittsburgh Pirates acquired veteran catcher Benito Santiago on Thursday from the Kansas City Royals in exchange for minor league right-hander Leo Nunez.
0,"Reuters - Opposition supporters rallied anew on the\streets of the Ukrainian capital on Sunday, boosted by a\parliamentary vote declaring invalid a disputed presidential\poll handing victory to Prime Minister Viktor Yanukovich."
0,"AP - Eastman Kodak Co. is shutting three photofinishing labs in Spain and Norway, shrinking a fourth lab in Switzerland and eliminating about 300 jobs as the world's biggest film manufacturer bets its future on digital photography."
0," BEIJING (Reuters) - North Korea's second-most senior leader  toured a shiny new science park in Beijing Monday, a first stop  on visit aimed at finding ways to help the North's moribund  economy as much as jump-starting stalled nuclear talks."
3,The German teenager awaiting trial for crippling computers worldwide this year with two viruses has been hired by a software security company.
1,"NASHVILLE -- Billy Volek threw for 175 yards and a touchdown before being knocked out of the game in the fourth quarter, and the Tennessee Titans held on for a 24-19 victory over the Detroit Lions yesterday to snap a five-game skid."
2,"Bankrupt Interstate Bakeries Corp. (IBC.N: Quote, Profile, Research) , maker of Hostess Twinkies and Wonder Bread, received court approval on Thursday to incur new debt "
2, TOKYO (Reuters) - Tokyo's Nikkei average fell 0.39 percent  at the opening on Tuesday after a rise in crude oil to another  record high put a damper on the appetites of investors  returning from a three-day weekend.
0,"AP - It's a long way from the Manhattan office of psychoanalyst Sherman Pheiffer to the Cambridge, Mass., practice of psychologist Jaine Darwin. But both are in blue states that voted heavily for John Kerry, and on the day he conceded, they heard plenty of distress about the election."
3,"Samples and data inside the wrecked Genesis space capsule appear intact enough to salvage most of the mission's science, optimistic researchers said Friday."
1,HAVING finally wrapped their hands around the holy grail - an Olympic gold medal -ustralia #39;s men #39;s hockey players retired to their dressingrooms to perform a victory ritual immortalised by a national team familiar with success.
0,"HONG KONG, AUGUST 25 : After years of steadily falling prices that dragged down salaries and destroyed the value of many apartments, inflation has finally returned here, government statisticians announced early this week."
0,"Elections in Iraq scheduled to take place by Jan. 31 may be postponed because of continued widespread violence or a coordinated boycott by Sunni Muslims, US and Iraqi officials said."
1, NEW YORK (Reuters) - Kirk Rueter allowed just three hits  over seven innings and J.T. Snow homered as the San Francisco  Giants scored a crucial 4-2 win over Los Angeles in National  League play at Dodger Stadium Friday.
0,"AP - Sen. Patty Murray, D-Wash., has ""a different view of Osama bin Laden,"" her campaign rival charged Wednesday in an attack ad that uses a picture of the al-Qaida leader and the senator's words to challenge her credentials in the war on terror."
1,"AP - Chicago Bears safety Mike Brown will miss the rest of the season after tearing his right Achilles tendon in a victory over Green Bay, coach Lovie Smith said Monday."
0,"Israeli former nuclear technician Mordechai Vanunu is arrested, seven months after release from jail."
2," NEW YORK (Reuters) - U.S. stocks rallied on Monday after  software maker PeopleSoft Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=PSFT.O target=/stocks/quickinfo/fullquote""&gt;PSFT.O&lt;/A&gt; accepted a sweetened  \$10.3 billion buyout by rival Oracle Corp.'s &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORCL.O target=/stocks/quickinfo/fullquote""&gt;ORCL.O&lt;/A&gt; and other  big deals raised expectations of more takeovers."
3,"Sharman 'encouraged' illegal file-trading, lawyers allege"
0,Israel launches psychological war against hundreds of Palestinian inmates on hunger strike for better conditions.
3,"A Russian cosmonaut will travel to the International Space Station with the outpost #39;s next two-man crew when it launches aboard a Russian Soyuz spacecraft next month, the National Aeronautics and Space Administration said."
3,The Panama Canal linked more than the Atlantic and Pacific Oceans: it also connected rivers that had been separated by the Continental Divide.
3,"Speaking at the annual Popkomm conference in Berlin, Germany, Apple vice-president of applications Eddie Cue told music executives that the company will expand the online iTunes Music Store "
3,"The head of the US space agency (Nasa), Sean O'Keefe, resigns after three years in the post."
1,"For Bill Belichick, it isn't a preference. In his mind, turning NCAA defensive ends into NFL linebackers is practically a necessity."
1,"Yes, we've been down this road before, but it looks as though the economic and political factors are now aligned in favor of baseball in the District -- although precariously."
3,"The HD-DVD Promotion Group will facilitate exchanges of information among hardware companies, device manufacturers and content firms, and organize joint promotion of HD-DVD to support early product launches and market expansion."
